code,name,value_best,value_worst,value_threshold,color_hex,color_rgb,levels,categories_en,categories_zh,pollutants_code,is_default,countries_and_regions
cn-mee,AQI (CN),0,500,"0-50,51-100,101-150,151-200,201-300,301-500","00E400,FFFF00,FF7E00,FF0000,99004C,7E0023","(0,228,0),(255,255,0),(255,126,0),(255,0,0),(153,0,76),(126,0,35)","1,2,3,4,5,6","Excellent, Good, Light, Moderate, Heavy, Severe","优, 良, 轻度污染, 中度污染, 重度污染, 严重污染","o3, co, so2, no2, pm10, pm2p5",FALSE,CN
cn-mee-1h,AQI-1H (CN),0,500,"0-50,51-100,101-150,151-200,201-300,301-500","00E400,FFFF00,FF7E00,FF0000,99004C,7E0023","(0,228,0),(255,255,0),(255,126,0),(255,0,0),(153,0,76),(126,0,35)","1,2,3,4,5,6","Excellent, Good, Light, Moderate, Heavy, Severe","优, 良, 轻度污染, 中度污染, 重度污染, 严重污染","o3, co, so2, no2, pm10, pm2p5",TRUE,CN
hk-epd,AQHI (HK),1,10,"1-3,4-6,7,8-10,10+","4EB748,F9A61A,ED1B24,9F4721,000000","(77,183,72),(249,166,26),(237,27,36),(159,71,33),(0,0,0)","1,2,3,4,5","Low, Moderate, High, Very High, Serious","低, 中, 高, 甚高, 严重","o3, co, so2, no2, pm10, pm2p5",TRUE,HK
mo-smg,AQI (MO),0,500,"0-50,51-100,101-200,201-300,301-400,401-500","26FF30, FFFF37, FC7922, FF0100, E30098, 7C0006","(38,255,48), (255,255,55), (252,121,34), (255,1,0), (227,0,152), (124,0,6)","1,2,3,4,5,6","Good, Moderate, Bad, Very Bad, Severe, Harmful","良好, 普通, 不良, 非常不良, 严重, 有害","o3, co, so2, no2, pm10, pm2p5",TRUE,MO
tw-me,Daily AQI (TW),0,500,"0-50,51-100,101-150,151-200,201-300,301-500","00FF00, FFFF00, FF7E00, FF0000, 800080, 7E0023","(0,255,0),(255,255,0),(255,126,0),(255,0,0),(128,0,128),(126,0,35)","1,2,3,4,5,6","Good, Moderate, Unhealthy for Sensitive Groups, Unhealthy, Very Unhealthy, Hazardous","良好,普通, 对敏感人群不健康, 对所有人群不健康, 非常不健康, 危害","o3, co, so2, no2, pm10, pm2p5",FALSE,TW
tw-me-1h,Real-time AQI (TW),0,500,"0-50,51-100,101-150,151-200,201-300,301-500","00FF00, FFFF00, FF7E00, FF0000, 800080, 7E0023","(0,255,0),(255,255,0),(255,126,0),(255,0,0),(128,0,128),(126,0,35)","1,2,3,4,5,6","Good, Moderate, Unhealthy for Sensitive Groups, Unhealthy, Very Unhealthy, Hazardous","良好,普通, 对敏感人群不健康, 对所有人群不健康, 非常不健康, 危害","o3, co, so2, no2, pm10, pm2p5",TRUE,TW
us-epa,AQI (US),0,500,"0-50,51-100,101-150,151-200,201-300,301-500","00E400,FFFF00,FF7E00,FF0000,99004C,7E0023","(0,228,0),(255,255,0),(255,126,0),(255,0,0),(153,0,76),(126,0,35)","1,2,3,4,5,6","Good, Moderate, Unhealthy for Sensitive Groups, Unhealthy, Very Unhealthy, Hazardous","好, 中等, 不适于敏感人群, 不健康, 非常不健康, 危险","o3, co, so2, no2, pm10, pm2p5",FALSE,US
us-epa-nc,AQI NowCast (US),0,500,"0-50,51-100,101-150,151-200,201-300,301-500","00E400,FFFF00,FF7E00,FF0000,99004C,7E0023","(0,228,0),(255,255,0),(255,126,0),(255,0,0),(153,0,76),(126,0,35)","1,2,3,4,5,6","Good, Moderate, Unhealthy for Sensitive Groups, Unhealthy, Very Unhealthy, Hazardous","好, 中等, 不适于敏感人群, 不健康, 非常不健康, 危险","o3, co, so2, no2, pm10, pm2p5",TRUE,US
eu-eea,EAQI (EU),1,6,"1,2,3,4,5,6","50F0E6,50CCAA,F0E641,FF5050,960032,872181","(80,240,230),(80,204,170),(240,230,65),(255,80,80),(150,0,50),(135,33,129)","1,2,3,4,5,6","Good, Fair,  Moderate,  Poor,  Very poor, Extremely poor","优, 良, 中, 差, 很差, 极差","o3, so2, no2, pm10, pm2p5",TRUE,"AD, AT, BA, BE, BG, CH, CZ, DE, DK, ES, FI, GB, GI, GR, HR, HU, IE, IT, LT, LV, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, XK"
fr-atmo,Indice ATMO (FR),1,6,"1,2,3,4,5,6","50F0E6,50CCAA,F0E641,FF5050,960032,872181","(80,240,230),(80,204,170),(240,230,65),(255,80,80),(150,0,50),(135,33,129)","1,2,3,4,5,6","Good, Average, Moderate, Bad, Very Bad, Extremely Bad","好, 一般, 不好, 差, 很差, 极差","o3, so2, no2, pm10, pm2p5",TRUE,FR
