type,type_name_zh,type_name_en
1001,台风,Typhoon
1002,龙卷风,Tornado
1003,暴雨,Rainstorm
1004,暴雪,Snow Storm
1005,寒潮,Cold Wave
1006,大风,Gale
1007,沙尘暴,Sandstorm
1008,低温冻害,Low Temperature Freeze
1009,高温,High Temperature
1010,热浪,Heat Wave
1011,干热风,Dry Hot Winds
1012,下击暴流,Downburst
1013,雪崩,Avalanche
1014,雷电,Lightning
1015,冰雹,Hail
1016,霜冻,Frost
1017,大雾,Heavy Fog
1018,低空风切变,Low-Level Wind Shearl
1019,霾,Haze
1020,雷雨大风,Thunder Gust
1021,道路结冰,Road Icing
1022,干旱,Drought
1023,海上大风,Gale at Sea
1024,高温中暑,Heat Stroke
1025,森林火险,Wildfire
1026,草原火险,Grassland Fire
1027,冰冻,Freeze
1028,空间天气,Space Weather
1029,重污染,Heavy Air Pollution
1030,低温雨雪冰冻,Low Temperature Rain and Snow
1031,强对流,Strong Convection
1032,臭氧,Ozone
1033,大雪,Heavy Snow
1034,寒冷,Cold
1035,连阴雨,Continuous Rain
1036,渍涝风险,Waterlogging
1037,地质灾害气象风险,Geological Hazard
1038,强降雨,Heavy Rainfall
1039,强降温,Severely Falling Temperature
1040,雪灾,Snow Disaster
1041,森林（草原）火险,Wildfire (Grassland)
1042,医疗气象,Medical Meteorology
1043,雷暴,Thunderstorm
1044,停课信号,School Closure
1045,停工信号,Factory Closure
1046,海上风险,Maritime Risk
1047,春季沙尘天气,Spring Dust
1048,降温,Falling Temperature
1049,台风暴雨,Typhoon and Rainstorm
1050,严寒,Severe Cold
1051,沙尘,Sand Dust
1052,海上雷雨大风,Sea Thunderstorms
1053,海上大雾,Sea Fog
1054,海上雷电,Sea Thunder
1055,海上台风,Sea Typhoon
1056,低温,Low Temperature
1057,道路冰雪,Road Ice and Snow
1058,雷暴大风,Thunderstorm and Gale
1059,持续低温,Continuous Low Temperature
1060,能见度不良,Low Visibility
1061,浓浮沉,Strong Dust
1062,海区大风,Gale at Sea
1063,短历时强降水,Short Duration Heavy Precipitation
1064,短时强降雨,Short-lived Heavy Rain
1065,海区大雾,Sea Fog
1066,中暑气象条件,Heat Stroke Conditions
1067,重污染天气,Heavy Pollution Weather
1068,一氧化碳中毒气象条件,CO Poisoning Weather Conditions
